time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000026, value: val0000000000026"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000073, value: val0000000000073"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000014, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000055, value: val0000000000055"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000084, value: val0000000000084"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000072, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000051, value: val0000000000051"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000002, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000040, value: val0000000000040"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000017, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000091, value: val0000000000091"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000005, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000089, value: val0000000000089"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000047, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000028, value: val0000000000028"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000039, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000038, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000003, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000049, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushed"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushing, threshold 10 met or shutdown signal given."
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000092, value: val0000000000092"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000059, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000015, value: val0000000000015"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000093, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000004, value: val0000000000004"
